Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	0	0	0	0	3	0	1	2	2	hsa-miR-199a-3p	0.0381	0.2653	1.4135	-0.61	-0.62	0.40	NULL
CD151	ENST00000322008.4	CD151 molecule (Raph blood group) 	13919	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0237	0.1537	0.6058	-0.61	-0.61	0.74	NULL
AMZ2	ENST00000577273.1	archaelysin family metallopeptidase 2 	32	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0204	0.1325	0.5365	-0.60	-0.74	< 0.1	NULL
CCDC28B	ENST00000421922.2	coiled-coil domain containing 28B 	106	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0365	0.2185	0.6739	-0.60	-0.60	< 0.1	NULL
MAP3K4	ENST00000366919.2	mitogen-activated protein kinase kinase kinase 4 	241	2	0	2	0	0	0	0	0	0	hsa-miR-199a-3p	0.0591	0.3696	1.3212	-0.59	-0.59	0.86	NULL
PIGB	ENST00000164305.5	phosphatidylinositol glycan anchor biosynthesis, class B 	123	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0213	0.1384	0.5427	-0.59	-0.59	< 0.1	NULL
CELSR2	ENST00000271332.3	cadherin, EGF LAG seven-pass G-type receptor 2 	2475	2	2	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.1026	0.5776	1.6003	-0.59	-0.59	0.63	NULL
CFL2	ENST00000341223.3	cofilin 2 (muscle) 	902	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0551	0.3033	0.7908	-0.59	-0.62	0.88	NULL
LPAR5	ENST00000329858.4	lysophosphatidic acid receptor 5 	5	0	0	0	0	2	1	0	1	0	hsa-miR-199a-3p	0.0242	0.1624	0.7423	-0.58	-0.58	< 0.1	NULL
SCD	ENST00000370355.2	stearoyl-CoA desaturase (delta-9-desaturase) 	9726	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0967	0.4609	1.0650	-0.58	-0.58	0.86	NULL
TRMT61B	ENST00000306108.5	tRNA methyltransferase 61 homolog B (S. cerevisiae) 	450	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0242	0.1551	0.5796	-0.58	-0.58	< 0.1	NULL
FGF7	ENST00000267843.4	fibroblast growth factor 7 	5	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0946	0.4727	1.1765	-0.58	-0.58	0.88	NULL
C9orf40	ENST00000376854.5	chromosome 9 open reading frame 40 	534	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0328	0.2022	0.6883	-0.57	-0.57	0.29	NULL
LPAR4	ENST00000435339.3	lysophosphatidic acid receptor 4 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0714	0.3697	0.9048	-0.57	-0.57	0.68	NULL
CXCL11	ENST00000306621.3	chemokine (C-X-C motif) ligand 11 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0473	0.2684	0.7305	-0.57	-0.57	0.19	NULL
COLCA1	ENST00000532918.1	colorectal cancer associated 1 	5	0	0	0	0	2	1	1	0	0	hsa-miR-199a-3p	0.0415	0.2711	1.1063	-0.57	-0.57	< 0.1	NULL
KIAA0319L	ENST00000325722.3	KIAA0319-like 	2090	2	0	2	0	0	0	0	0	0	hsa-miR-199a-3p	0.0311	0.1981	0.7632	-0.56	-0.56	0.97	NULL
ITPK1	ENST00000267615.6	inositol-tetrakisphosphate 1-kinase 	60	1	1	0	0	0	0	0	0	2	hsa-miR-199a-3p	0.1169	0.5184	1.1209	-0.56	-0.56	0.88	NULL
RNF141	ENST00000265981.2	ring finger protein 141 	345	0	0	0	0	2	0	2	0	4	hsa-miR-199a-3p	0.0346	0.2476	1.4937	-0.56	-0.60	< 0.1	NULL
C11orf72	ENST00000333139.3	chromosome 11 open reading frame 72 	5	0	0	0	0	2	1	0	1	0	hsa-miR-199a-3p	0.0314	0.2025	0.8100	-0.56	-0.56	< 0.1	NULL
IMP3	ENST00000314852.2	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast) 	2164	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0162	0.1086	0.4739	-0.55	-0.55	< 0.1	NULL
FAM60A	ENST00000539409.1	family with sequence similarity 60, member A 	58	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0824	0.3989	0.8306	-0.55	-0.55	0.83	NULL
GREM1	ENST00000560677.1	gremlin 1, DAN family BMP antagonist 	752	1	1	0	0	0	0	0	0	2	hsa-miR-199a-3p	0.0426	0.2561	0.8695	-0.55	-0.58	0.64	NULL
RNGTT	ENST00000369485.4	RNA guanylyltransferase and 5'-phosphatase 	1384	1	1	0	0	1	0	0	1	3	hsa-miR-199a-3p	0.0369	0.2360	0.9641	-0.55	-0.65	< 0.1	NULL
ADAMTSL3	ENST00000286744.5	ADAMTS-like 3 	9	3	0	2	1	0	0	0	0	0	hsa-miR-199a-3p	0.0584	0.3753	1.5309	-0.54	-0.54	0.98	NULL
ARL15	ENST00000502271.1	ADP-ribosylation factor-like 15 	119	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0237	0.1508	0.5590	-0.54	-0.60	0.65	NULL
PTER	ENST00000378000.1	phosphotriesterase related 	217	0	0	0	0	2	1	0	1	1	hsa-miR-199a-3p	0.0305	0.2049	0.9598	-0.54	-0.64	< 0.1	NULL
UBE2W	ENST00000517608.1	ubiquitin-conjugating enzyme E2W (putative) 	102	2	0	1	1	0	0	0	0	2	hsa-miR-199a-3p	0.0403	0.2772	1.4055	-0.53	-0.53	0.94	NULL
ITGB8	ENST00000222573.4	integrin, beta 8 	17	2	0	2	0	0	0	0	0	0	hsa-miR-199a-3p	0.0728	0.4396	1.4472	-0.53	-0.53	0.98	NULL
LLGL2	ENST00000392550.3	lethal giant larvae homolog 2 (Drosophila) 	149	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0501	0.2811	0.7528	-0.51	-0.51	0.63	NULL
PPP1R1C	ENST00000409137.3	protein phosphatase 1, regulatory (inhibitor) subunit 1C 	5	0	0	0	0	1	1	0	0	1	hsa-miR-199a-3p	0.0450	0.2945	1.2901	-0.51	-0.51	< 0.1	NULL
RUFY4	ENST00000441828.2	RUN and FYVE domain containing 4 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0189	0.1249	0.5132	-0.51	-0.51	< 0.1	NULL
MS4A7	ENST00000358246.1	membrane-spanning 4-domains, subfamily A, member 7 	5	0	0	0	0	1	1	0	0	1	hsa-miR-199a-3p	0.0357	0.2199	0.7675	-0.51	-0.51	< 0.1	NULL
BCL2L13	ENST00000418951.2	BCL2-like 13 (apoptosis facilitator) 	741	0	0	0	0	3	1	0	2	2	hsa-miR-199a-3p	0.0371	0.2468	1.1113	-0.51	-0.54	< 0.1	NULL
SGK2	ENST00000373100.1	serum/glucocorticoid regulated kinase 2 	26	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0292	0.1822	0.6307	-0.51	-0.51	< 0.1	NULL
ADRBK2	ENST00000324198.6	adrenergic, beta, receptor kinase 2 	215	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0718	0.3691	0.8771	-0.51	-0.51	0.87	NULL
PHYHIPL	ENST00000373880.4	phytanoyl-CoA 2-hydroxylase interacting protein-like 	26	1	0	0	1	1	0	1	0	0	hsa-miR-199a-3p	0.0293	0.1989	0.9504	-0.50	-0.50	0.67	NULL
SYT16	ENST00000430451.2	synaptotagmin XVI 	5	0	0	0	0	3	0	2	1	0	hsa-miR-199a-3p	0.0282	0.1963	1.0157	-0.50	-0.50	< 0.1	NULL
G3BP2	ENST00000395719.3	GTPase activating protein (SH3 domain) binding protein 2 	4413	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0783	0.3860	0.8724	-0.50	-0.53	0.74	NULL
CHKA	ENST00000265689.4	choline kinase alpha 	352	0	0	0	0	2	1	1	0	0	hsa-miR-199a-3p	0.0161	0.1122	0.5963	-0.50	-0.50	< 0.1	NULL
TFAM	ENST00000487519.1	transcription factor A, mitochondrial 	1323	1	1	0	0	1	0	1	0	1	hsa-miR-199a-3p	0.0256	0.1634	0.6053	-0.50	-0.60	0.76	NULL
RP1	ENST00000220676.1	retinitis pigmentosa 1 (autosomal dominant) 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0309	0.2026	0.8921	-0.50	-0.50	< 0.1	NULL
APLF	ENST00000303795.4	aprataxin and PNKP like factor 	57	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0245	0.1638	0.7487	-0.49	-0.49	< 0.1	NULL
ZHX1	ENST00000395571.3	zinc fingers and homeoboxes 1 	88	2	0	2	0	0	0	0	0	1	hsa-miR-199a-3p	0.0476	0.3110	1.2862	-0.49	-0.49	0.56	NULL
CNEP1R1	ENST00000562576.1	CTD nuclear envelope phosphatase 1 regulatory subunit 1 	546	1	0	1	0	1	0	0	1	0	hsa-miR-199a-3p	0.0247	0.1666	0.7821	-0.49	-0.50	0.39	NULL
GIP	ENST00000357424.2	gastric inhibitory polypeptide 	32	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0219	0.1349	0.4479	-0.49	-0.76	< 0.1	NULL
SUSD3	ENST00000375472.3	sushi domain containing 3 	24	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0096	0.0676	0.3712	-0.49	-0.49	< 0.1	NULL
RPS6KA6	ENST00000262752.2	ribosomal protein S6 kinase, 90kDa, polypeptide 6 	156	2	1	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0317	0.2159	1.0819	-0.48	-0.50	0.49	NULL
RNF14	ENST00000394520.2	ring finger protein 14 	20	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0868	0.4230	0.9601	-0.48	-0.48	0.74	NULL
UBQLN1	ENST00000376395.4	ubiquilin 1 	471	0	0	0	0	1	1	0	0	1	hsa-miR-199a-3p	0.0401	0.2446	0.8624	-0.48	-0.52	< 0.1	NULL
AKAP9	ENST00000356239.3	A kinase (PRKA) anchor protein 9 	514	0	0	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0321	0.2288	1.3651	-0.48	-0.55	0.40	NULL
PIK3CB	ENST00000477593.1	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta 	437	2	0	2	0	0	0	0	0	1	hsa-miR-199a-3p	0.0534	0.3396	1.2998	-0.48	-0.53	0.97	NULL
KTN1	ENST00000416613.1	kinectin 1 (kinesin receptor) 	469	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0593	0.3248	0.8800	-0.48	-0.48	0.75	NULL
CDK17	ENST00000543119.2	cyclin-dependent kinase 17 	475	2	0	2	0	0	0	0	0	1	hsa-miR-199a-3p	0.0382	0.2467	1.0059	-0.47	-0.48	0.92	NULL
C9orf170	ENST00000375941.2	chromosome 9 open reading frame 170 	5	0	0	0	0	1	1	0	0	1	hsa-miR-199a-3p	0.0500	0.2838	0.7980	-0.47	-0.47	< 0.1	NULL
ZNF441	ENST00000357901.4	zinc finger protein 441 	5	0	0	0	0	3	0	2	1	0	hsa-miR-199a-3p	0.0451	0.3049	1.4274	-0.46	-0.46	< 0.1	NULL
FUBP1	ENST00000370767.1	far upstream element (FUSE) binding protein 1 	2021	1	1	0	0	0	0	0	0	2	hsa-miR-199a-3p	0.0313	0.1966	0.7166	-0.46	-0.47	0.69	NULL
FAM110C	ENST00000327669.4	family with sequence similarity 110, member C 	29	0	0	0	0	2	0	2	0	1	hsa-miR-199a-3p	0.0371	0.2479	1.1229	-0.46	-0.46	< 0.1	NULL
SAMD12	ENST00000409003.4	sterile alpha motif domain containing 12 	57	1	0	1	0	3	0	2	1	0	hsa-miR-199a-3p	0.0593	0.3857	1.6459	-0.46	-0.46	0.86	NULL
SLC44A5	ENST00000370859.3	solute carrier family 44, member 5 	395	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0517	0.3275	1.3868	-0.46	-0.46	< 0.1	NULL
RP11-160N1.10	ENST00000377548.2		5	0	0	0	0	2	0	0	2	0	hsa-miR-199a-3p	0.0059	0.0426	0.2706	-0.46	-0.46	< 0.1	NULL
AK4	ENST00000545314.1	adenylate kinase 4 	116	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0817	0.4221	1.0852	-0.45	-0.45	0.81	NULL
CEP85L	ENST00000368491.3	centrosomal protein 85kDa-like 	14	1	1	0	0	2	0	2	0	0	hsa-miR-199a-3p	0.0765	0.4216	1.2250	-0.45	-0.51	0.86	NULL
MEDAG	ENST00000380482.4	mesenteric estrogen-dependent adipogenesis 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0196	0.1320	0.6104	-0.45	-0.45	< 0.1	NULL
C10orf126	ENST00000375520.1	chromosome 10 open reading frame 126 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0265	0.1685	0.6218	-0.45	-0.45	< 0.1	NULL
ZNF174	ENST00000268655.4	zinc finger protein 174 	787	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0187	0.1234	0.5098	-0.45	-0.45	< 0.1	NULL
FXR1	ENST00000357559.4	fragile X mental retardation, autosomal homolog 1 	434	1	1	0	0	1	0	0	1	2	hsa-miR-199a-3p	0.0712	0.3761	0.9775	-0.45	-0.55	0.88	NULL
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	2	0	2	0	0	0	0	0	0	hsa-miR-199a-3p	0.0507	0.3178	1.1708	-0.45	-0.46	0.79	NULL
FCGR3B	ENST00000367964.2	Fc fragment of IgG, low affinity IIIb, receptor (CD16b) 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0370	0.2213	0.6774	-0.44	-0.44	< 0.1	NULL
PPP2R5E	ENST00000337537.3	protein phosphatase 2, regulatory subunit B', epsilon isoform 	23	2	0	1	1	0	0	0	0	0	hsa-miR-199a-3p	0.0785	0.4664	1.4522	-0.44	-0.44	0.91	NULL
ZNF227	ENST00000313040.7	zinc finger protein 227 	210	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0269	0.1694	0.6011	-0.44	-0.44	< 0.1	NULL
ADAMTS3	ENST00000286657.4	ADAM metallopeptidase with thrombospondin type 1 motif, 3 	5	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0454	0.2824	1.0552	-0.44	-0.44	0.73	NULL
CSRP2	ENST00000311083.5	cysteine and glycine-rich protein 2 	38	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0294	0.1838	0.6467	-0.44	-0.44	0.57	NULL
SNN	ENST00000329565.5	stannin 	663	1	0	1	0	1	0	0	1	1	hsa-miR-199a-3p	0.0435	0.2737	1.0443	-0.44	-0.44	0.88	NULL
CELF2	ENST00000379261.4	CUGBP, Elav-like family member 2 	45	2	0	1	1	1	0	0	1	0	hsa-miR-199a-3p	0.0469	0.3052	1.3632	-0.44	-0.44	0.86	NULL
CNOT7	ENST00000361272.4	CCR4-NOT transcription complex, subunit 7 	415	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0524	0.2905	0.7567	-0.44	-0.53	0.87	NULL
CETN3	ENST00000283122.3	centrin, EF-hand protein, 3 	498	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0161	0.1081	0.4817	-0.44	-0.44	< 0.1	NULL
FAM115C	ENST00000441159.2	family with sequence similarity 115, member C 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0776	0.3930	0.9392	-0.43	-0.43	< 0.1	NULL
NRBP2	ENST00000442628.2	nuclear receptor binding protein 2 	1011	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0340	0.2061	0.6558	-0.43	-0.44	< 0.1	NULL
AL138847.1	ENST00000593719.1	CDNA FLJ26506 fis, clone KDN07105; Uncharacterized protein  	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0305	0.1958	0.7757	-0.43	-0.43	< 0.1	NULL
CBLB	ENST00000264122.4	Cbl proto-oncogene B, E3 ubiquitin protein ligase 	469	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0414	0.2444	0.7452	-0.43	-0.44	0.73	NULL
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	1	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0522	0.3224	1.2380	-0.43	-0.45	0.89	NULL
CNIH2	ENST00000528852.1	cornichon family AMPA receptor auxiliary protein 2 	158	1	0	1	0	0	0	0	0	0	hsa-miR-199a-3p	0.0253	0.1635	0.6454	-0.43	-0.45	0.38	NULL
CHRM3	ENST00000255380.4	cholinergic receptor, muscarinic 3 	47	1	1	0	0	1	0	0	1	1	hsa-miR-199a-3p	0.0498	0.2910	0.9059	-0.43	-0.50	< 0.1	NULL
COPS2	ENST00000388901.5	COP9 signalosome subunit 2 	11120	1	0	1	0	0	0	0	0	1	hsa-miR-199a-3p	0.0312	0.1961	0.7140	-0.43	-0.43	0.77	NULL
DPF3	ENST00000541685.1	D4, zinc and double PHD fingers, family 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0368	0.2294	0.8341	-0.43	-0.43	< 0.1	NULL
KCTD7	ENST00000275532.3	potassium channel tetramerization domain containing 7 	693	0	0	0	0	2	1	1	0	1	hsa-miR-199a-3p	0.0527	0.3358	1.3710	-0.43	-0.43	< 0.1	NULL
SLC25A35	ENST00000577745.1	solute carrier family 25, member 35 	376	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0168	0.1123	0.4831	-0.43	-0.43	< 0.1	NULL
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	2	0	2	0	1	0	0	1	1	hsa-miR-199a-3p	0.0435	0.2877	1.2372	-0.43	-0.43	0.91	NULL
EIF3M	ENST00000531120.1	eukaryotic translation initiation factor 3, subunit M 	218	0	0	0	0	2	2	0	0	0	hsa-miR-199a-3p	0.0307	0.1995	0.8361	-0.43	-0.66	< 0.1	NULL
GJE1	ENST00000450456.2	gap junction protein, epsilon 1, 23kDa 	5	0	0	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0093	0.0646	0.3377	-0.42	-0.42	< 0.1	NULL
PNRC1	ENST00000336032.3	proline-rich nuclear receptor coactivator 1 	413	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0367	0.2130	0.6520	-0.42	-0.60	0.88	NULL
SOWAHC	ENST00000356454.3	sosondowah ankyrin repeat domain family member C 	431	1	1	0	0	0	0	0	0	0	hsa-miR-199a-3p	0.0576	0.3213	0.9230	-0.42	-0.43	0.65	NULL
FCGR3A	ENST00000367969.3	Fc fragment of IgG, low affinity IIIa, receptor (CD16a) 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0340	0.2063	0.6576	-0.42	-0.42	< 0.1	NULL
YES1	ENST00000577961.1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1 	168	0	0	0	0	2	1	1	0	0	hsa-miR-199a-3p	0.0328	0.2171	0.9192	-0.42	-0.50	< 0.1	NULL
SEC16B	ENST00000308284.6	SEC16 homolog B (S. cerevisiae) 	251	1	1	0	0	1	0	0	1	0	hsa-miR-199a-3p	0.0548	0.3078	0.8744	-0.42	-0.46	0.66	NULL
CREBZF	ENST00000398294.2	CREB/ATF bZIP transcription factor 	1115	1	0	0	1	1	0	1	0	1	hsa-miR-199a-3p	0.0264	0.1832	0.9475	-0.42	-0.44	0.85	NULL
COL4A5	ENST00000361603.2	collagen, type IV, alpha 5 	715	1	1	0	0	1	0	1	0	0	hsa-miR-199a-3p	0.0417	0.2661	1.0148	-0.42	-0.46	0.30	NULL
MRFAP1	ENST00000382581.4	Morf4 family associated protein 1 	264	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0197	0.1275	0.4932	-0.42	-0.47	< 0.1	NULL
KLF13	ENST00000307145.3	Kruppel-like factor 13 	5	1	1	0	0	2	1	0	1	1	hsa-miR-199a-3p	0.0680	0.4006	1.4246	-0.42	-0.42	0.49	NULL
KDM6A	ENST00000377967.4	lysine (K)-specific demethylase 6A 	991	1	1	0	0	0	0	0	0	1	hsa-miR-199a-3p	0.0562	0.3206	0.9802	-0.41	-0.43	0.75	NULL
ADAM22	ENST00000398204.4	ADAM metallopeptidase domain 22 	115	0	0	0	0	2	1	0	1	1	hsa-miR-199a-3p	0.0422	0.2562	0.8786	-0.41	-0.43	< 0.1	NULL
HSF5	ENST00000323777.3	heat shock transcription factor family member 5 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0368	0.2326	0.8783	-0.41	-0.41	< 0.1	NULL
SDC2	ENST00000302190.4	syndecan 2 	774	1	1	0	0	2	0	1	1	0	hsa-miR-199a-3p	0.0623	0.2986	0.6815	-0.41	-0.91	0.87	NULL
MAB21L3	ENST00000369500.3	mab-21-like 3 (C. elegans) 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-3p	0.0325	0.2005	0.6817	-0.41	-0.41	< 0.1	NULL
