Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
KCTD8	ENST00000360029.3	potassium channel tetramerization domain containing 8 	5	1	1	0	0	0	hsa-miR-100-3p				-0.37	-0.37	N/A
DNAJA1	ENST00000330899.4	DnaJ (Hsp40) homolog, subfamily A, member 1 	789	1	1	0	0	0	hsa-miR-100-3p				-0.37	-0.44	N/A
RP11-321M21.3	ENST00000578340.1	HCG1996301; Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-100-3p				-0.36	-0.36	N/A
ITGB1	ENST00000396033.2	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) 	2098	2	1	0	1	0	hsa-miR-100-3p				-0.36	-0.46	N/A
MORC1	ENST00000232603.5	MORC family CW-type zinc finger 1 	5	1	1	0	0	0	hsa-miR-100-3p				-0.36	-0.36	N/A
LALBA	ENST00000549817.1	lactalbumin, alpha- 	5	2	0	0	2	0	hsa-miR-100-3p				-0.36	-0.36	N/A
MEIS1	ENST00000488550.1	Meis homeobox 1 	533	3	0	2	1	0	hsa-miR-100-3p				-0.36	-0.36	N/A
CHKB	ENST00000406938.2	choline kinase beta 	129	1	0	1	0	0	hsa-miR-100-3p				-0.36	-0.36	N/A
HIST1H3J	ENST00000359303.2	histone cluster 1, H3j 	5	1	0	1	0	0	hsa-miR-100-3p				-0.36	-0.36	N/A
SFRP4	ENST00000436072.2	secreted frizzled-related protein 4 	5	1	1	0	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
BTK	ENST00000372880.1	Bruton agammaglobulinemia tyrosine kinase 	5	1	1	0	0	1	hsa-miR-100-3p				-0.35	-0.35	N/A
ANO2	ENST00000327087.8	anoctamin 2 	10	1	1	0	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
NAA50	ENST00000240922.3	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	260	6	0	0	6	5	hsa-miR-100-3p				-0.35	-0.72	N/A
DNAJC27	ENST00000264711.2	DnaJ (Hsp40) homolog, subfamily C, member 27 	41	5	1	3	1	1	hsa-miR-100-3p				-0.35	-0.43	N/A
NEUROD1	ENST00000295108.3	neuronal differentiation 1 	5	2	0	2	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
PRAMEF7	ENST00000361079.2	PRAME family member 7 	5	1	0	1	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
PRAMEF8	ENST00000357367.2	PRAME family member 8 	5	1	0	1	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
CASC4	ENST00000360824.3	cancer susceptibility candidate 4 	5	1	1	0	0	2	hsa-miR-100-3p				-0.35	-0.35	N/A
FBXL2	ENST00000484457.1	F-box and leucine-rich repeat protein 2 	12	1	1	0	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
MAMDC2	ENST00000377182.4	MAM domain containing 2 	365	1	1	0	0	0	hsa-miR-100-3p				-0.35	-0.35	N/A
ZNF655	ENST00000425063.1	zinc finger protein 655 	709	2	0	0	2	3	hsa-miR-100-3p				-0.35	-0.35	N/A
DPY19L2	ENST00000324472.4	dpy-19-like 2 (C. elegans) 	17	1	0	1	0	2	hsa-miR-100-3p				-0.34	-0.34	N/A
ASPA	ENST00000263080.2	aspartoacylase 	5	2	0	1	1	1	hsa-miR-100-3p				-0.34	-0.34	N/A
PRR23C	ENST00000413199.1	proline rich 23C 	5	2	0	1	1	0	hsa-miR-100-3p				-0.34	-0.34	N/A
PRRX1	ENST00000367760.3	paired related homeobox 1 	57	1	1	0	0	1	hsa-miR-100-3p				-0.34	-0.38	N/A
ERVFRD-1	ENST00000472091.1	endogenous retrovirus group FRD, member 1 	5	1	1	0	0	0	hsa-miR-100-3p				-0.34	-0.34	N/A
BTBD6	ENST00000392554.3	BTB (POZ) domain containing 6 	56	1	1	0	0	1	hsa-miR-100-3p				-0.34	-0.34	N/A
CCDC152	ENST00000361970.5	coiled-coil domain containing 152 	5	1	1	0	0	1	hsa-miR-100-3p				-0.34	-0.34	N/A
RP6-24A23.6	ENST00000563887.1	Uncharacterized protein  	937	1	1	0	0	1	hsa-miR-100-3p				-0.34	-0.48	N/A
EBF1	ENST00000313708.6	early B-cell factor 1 	42	3	1	0	2	1	hsa-miR-100-3p				-0.34	-0.34	N/A
DPH6	ENST00000256538.4	diphthamine biosynthesis 6 	90	1	1	0	0	0	hsa-miR-100-3p				-0.34	-0.35	N/A
PAPD7	ENST00000230859.6	PAP associated domain containing 7 	3195	2	1	1	0	1	hsa-miR-100-3p				-0.34	-0.35	N/A
TET2	ENST00000545826.1	tet methylcytosine dioxygenase 2 	558	1	1	0	0	3	hsa-miR-100-3p				-0.34	-0.34	N/A
DLX1	ENST00000341900.6	distal-less homeobox 1 	312	1	1	0	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
RP11-210M15.2	ENST00000559008.1	Uncharacterized protein  	5	1	0	0	1	1	hsa-miR-100-3p				-0.33	-0.33	N/A
RASSF3	ENST00000542104.1	Ras association (RalGDS/AF-6) domain family member 3 	461	3	0	1	2	1	hsa-miR-100-3p				-0.33	-0.34	N/A
ACTBL2	ENST00000423391.1	actin, beta-like 2 	9	1	0	1	0	1	hsa-miR-100-3p				-0.33	-0.33	N/A
CLEC7A	ENST00000298523.5	C-type lectin domain family 7, member A 	5	2	0	2	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
C7orf26	ENST00000344417.5	chromosome 7 open reading frame 26 	20	1	1	0	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
CCDC53	ENST00000240079.6	coiled-coil domain containing 53 	16	1	0	1	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
GPR171	ENST00000309180.5	G protein-coupled receptor 171 	5	1	0	1	0	1	hsa-miR-100-3p				-0.33	-0.33	N/A
FMR1	ENST00000370471.3	fragile X mental retardation 1 	1155	1	1	0	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
KLRG1	ENST00000356986.3	killer cell lectin-like receptor subfamily G, member 1 	15	1	0	1	0	0	hsa-miR-100-3p				-0.33	-0.33	N/A
USP44	ENST00000552440.1	ubiquitin specific peptidase 44 	29	1	1	0	0	1	hsa-miR-100-3p				-0.32	-0.32	N/A
MAGOHB	ENST00000539554.1	mago-nashi homolog B (Drosophila) 	63	1	1	0	0	0	hsa-miR-100-3p				-0.32	-0.57	N/A
POU6F2	ENST00000518318.2	POU class 6 homeobox 2 	5	2	1	1	0	1	hsa-miR-100-3p				-0.32	-0.32	N/A
RGS21	ENST00000417209.2	regulator of G-protein signaling 21 	5	1	0	1	0	0	hsa-miR-100-3p				-0.32	-0.32	N/A
TBPL1	ENST00000237264.4	TBP-like 1 	69	1	1	0	0	1	hsa-miR-100-3p				-0.32	-0.39	N/A
THYN1	ENST00000352327.5	thymocyte nuclear protein 1 	116	1	0	1	0	0	hsa-miR-100-3p				-0.32	-0.32	N/A
MTPN	ENST00000393085.3	myotrophin 	1296	2	0	0	2	2	hsa-miR-100-3p				-0.32	-0.32	N/A
PPP1R3D	ENST00000370996.3	protein phosphatase 1, regulatory subunit 3D 	132	3	0	1	2	2	hsa-miR-100-3p				-0.32	-0.41	N/A
AKIRIN2	ENST00000257787.5	akirin 2 	477	1	0	1	0	0	hsa-miR-100-3p				-0.32	-0.32	N/A
NDRG1	ENST00000323851.7	N-myc downstream regulated 1 	2195	2	0	1	1	1	hsa-miR-100-3p				-0.32	-0.32	N/A
CKS1B	ENST00000308987.5	CDC28 protein kinase regulatory subunit 1B 	186	1	0	1	0	2	hsa-miR-100-3p				-0.32	-0.33	N/A
GOLGA5	ENST00000355976.2	golgin A5 	35	1	0	1	0	0	hsa-miR-100-3p				-0.31	-0.31	N/A
SNAPC5	ENST00000566658.1	small nuclear RNA activating complex, polypeptide 5, 19kDa 	211	2	0	1	1	0	hsa-miR-100-3p				-0.31	-0.50	N/A
CLEC5A	ENST00000546910.1	C-type lectin domain family 5, member A 	5	2	1	0	1	0	hsa-miR-100-3p				-0.31	-0.31	N/A
IFNK	ENST00000276943.2	interferon, kappa 	5	1	0	1	0	0	hsa-miR-100-3p				-0.31	-0.31	N/A
OAT	ENST00000539214.1	ornithine aminotransferase 	5	1	0	0	1	1	hsa-miR-100-3p				-0.31	-0.31	N/A
TNF	ENST00000449264.2	tumor necrosis factor 	5	1	1	0	0	0	hsa-miR-100-3p				-0.31	-0.31	N/A
CBFB	ENST00000290858.6	core-binding factor, beta subunit 	3904	1	1	0	0	0	hsa-miR-100-3p				-0.31	-0.32	N/A
ARL17A	ENST00000337845.7	ADP-ribosylation factor-like 17A 	5	1	0	0	1	2	hsa-miR-100-3p				-0.31	-0.31	N/A
ERO1LB	ENST00000354619.5	ERO1-like beta (S. cerevisiae) 	478	3	1	0	2	0	hsa-miR-100-3p				-0.31	-0.46	N/A
IRF2	ENST00000393593.3	interferon regulatory factor 2 	420	1	0	1	0	2	hsa-miR-100-3p				-0.30	-0.31	N/A
FBXO8	ENST00000393674.2	F-box protein 8 	50	1	0	1	0	0	hsa-miR-100-3p				-0.30	-0.30	N/A
HHLA3	ENST00000361764.4	HERV-H LTR-associating 3 	5	1	0	0	1	2	hsa-miR-100-3p				-0.30	-0.42	N/A
CARD16	ENST00000375704.3	caspase recruitment domain family, member 16 	18	1	0	1	0	0	hsa-miR-100-3p				-0.30	-0.30	N/A
GNB4	ENST00000232564.3	guanine nucleotide binding protein (G protein), beta polypeptide 4 	343	1	0	1	0	1	hsa-miR-100-3p				-0.30	-0.31	N/A
CLEC3A	ENST00000299642.4	C-type lectin domain family 3, member A 	5	1	1	0	0	0	hsa-miR-100-3p				-0.30	-0.30	N/A
TGFBR1	ENST00000374994.4	transforming growth factor, beta receptor 1 	249	3	0	1	2	1	hsa-miR-100-3p				-0.30	-0.34	N/A
RAB33B	ENST00000305626.5	RAB33B, member RAS oncogene family 	270	1	1	0	0	2	hsa-miR-100-3p				-0.30	-0.33	N/A
BAALC	ENST00000438105.2	brain and acute leukemia, cytoplasmic 	137	1	1	0	0	0	hsa-miR-100-3p				-0.30	-0.37	N/A
RPS6KA6	ENST00000262752.2	ribosomal protein S6 kinase, 90kDa, polypeptide 6 	156	3	1	1	1	1	hsa-miR-100-3p				-0.30	-0.61	N/A
SLMO2	ENST00000355937.4	slowmo homolog 2 (Drosophila) 	374	1	0	1	0	0	hsa-miR-100-3p				-0.29	-0.31	N/A
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	3	0	1	2	3	hsa-miR-100-3p				-0.29	-0.31	N/A
B3GNT5	ENST00000326505.3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 	57	1	1	0	0	0	hsa-miR-100-3p				-0.29	-0.29	N/A
AC008948.1	ENST00000597120.1		5	1	0	0	1	1	hsa-miR-100-3p				-0.29	-0.29	N/A
RPS26	ENST00000356464.5	ribosomal protein S26 	5	1	0	0	1	0	hsa-miR-100-3p				-0.29	-0.29	N/A
TMC7	ENST00000421369.3	transmembrane channel-like 7 	54	2	0	1	1	0	hsa-miR-100-3p				-0.29	-0.31	N/A
RNASE6	ENST00000304677.2	ribonuclease, RNase A family, k6 	5	1	0	1	0	0	hsa-miR-100-3p				-0.29	-0.29	N/A
MRAP2	ENST00000257776.4	melanocortin 2 receptor accessory protein 2 	25	2	0	2	0	1	hsa-miR-100-3p				-0.29	-0.29	N/A
BEX4	ENST00000372695.5	brain expressed, X-linked 4 	136	1	0	1	0	0	hsa-miR-100-3p				-0.29	-0.29	N/A
KCTD4	ENST00000379108.1	potassium channel tetramerization domain containing 4 	7	2	0	1	1	1	hsa-miR-100-3p				-0.29	-0.34	N/A
NAB1	ENST00000337386.5	NGFI-A binding protein 1 (EGR1 binding protein 1) 	279	2	1	0	1	2	hsa-miR-100-3p				-0.29	-0.39	N/A
TFB2M	ENST00000366514.4	transcription factor B2, mitochondrial 	22	1	0	0	1	1	hsa-miR-100-3p				-0.29	-0.29	N/A
TRIM52	ENST00000327767.4	tripartite motif containing 52 	43	2	0	0	2	1	hsa-miR-100-3p				-0.29	-0.29	N/A
GSDMA	ENST00000301659.4	gasdermin A 	5	1	0	1	0	0	hsa-miR-100-3p				-0.29	-0.29	N/A
GGACT	ENST00000376250.2	gamma-glutamylamine cyclotransferase 	164	2	0	1	1	1	hsa-miR-100-3p				-0.29	-0.36	N/A
MRPL34	ENST00000602206.1	mitochondrial ribosomal protein L34 	8223	1	0	0	1	0	hsa-miR-100-3p				-0.28	-0.29	N/A
BHLHE40	ENST00000256495.3	basic helix-loop-helix family, member e40 	1571	1	1	0	0	1	hsa-miR-100-3p				-0.28	-0.29	N/A
CLEC2D	ENST00000261340.7	C-type lectin domain family 2, member D 	11	4	0	1	3	1	hsa-miR-100-3p				-0.28	-0.57	N/A
STAR	ENST00000276449.4	steroidogenic acute regulatory protein 	5	1	0	1	0	1	hsa-miR-100-3p				-0.28	-0.30	N/A
GJA4	ENST00000342280.4	gap junction protein, alpha 4, 37kDa 	5	1	0	1	0	0	hsa-miR-100-3p				-0.28	-0.28	N/A
TTLL5	ENST00000298832.9	tubulin tyrosine ligase-like family, member 5 	180	1	1	0	0	1	hsa-miR-100-3p				-0.28	-0.42	N/A
UBE2NL	ENST00000370494.1	ubiquitin-conjugating enzyme E2N-like 	5	1	0	1	0	1	hsa-miR-100-3p				-0.28	-0.28	N/A
ID4	ENST00000378700.3	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein 	3400	3	0	1	2	1	hsa-miR-100-3p				-0.28	-0.65	N/A
CLN5	ENST00000377453.3	ceroid-lipofuscinosis, neuronal 5 	184	2	0	1	1	1	hsa-miR-100-3p				-0.28	-0.28	N/A
ICK	ENST00000350082.5	intestinal cell (MAK-like) kinase 	18	2	1	0	1	1	hsa-miR-100-3p				-0.28	-0.29	N/A
BARD1	ENST00000260947.4	BRCA1 associated RING domain 1 	162	2	0	1	1	0	hsa-miR-100-3p				-0.28	-0.31	N/A
RP11-706O15.1	ENST00000425492.2	HCG1981372, isoform CRA_c; Uncharacterized protein  	142	1	0	0	1	0	hsa-miR-100-3p				-0.28	-0.28	N/A
CHRNA5	ENST00000299565.5	cholinergic receptor, nicotinic, alpha 5 (neuronal) 	903	1	0	1	0	0	hsa-miR-100-3p				-0.28	-0.28	N/A
PSMD10	ENST00000372296.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 	44	2	0	1	1	1	hsa-miR-100-3p				-0.28	-0.53	N/A
RHOQ	ENST00000238738.4	ras homolog family member Q 	179	3	0	0	3	1	hsa-miR-100-3p				-0.28	-0.29	N/A
HIGD1A	ENST00000321331.7	HIG1 hypoxia inducible domain family, member 1A 	254	1	0	0	1	2	hsa-miR-100-3p				-0.28	-0.29	N/A
AP3M1	ENST00000355264.4	adaptor-related protein complex 3, mu 1 subunit 	601	2	0	0	2	0	hsa-miR-100-3p				-0.28	-0.28	N/A
MTX3	ENST00000509852.1	metaxin 3 	304	3	0	1	2	2	hsa-miR-100-3p				-0.28	-0.29	N/A
RP11-404L6.2	ENST00000520762.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-100-3p				-0.28	-0.28	N/A
AQP5	ENST00000293599.6	aquaporin 5 	10	1	0	1	0	0	hsa-miR-100-3p				-0.28	-0.28	N/A
