Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
BCAP29	ENST00000005259.4	B-cell receptor-associated protein 29 	326	4	0	1	3	2	hsa-miR-195-3p				-0.54	-0.56	N/A
KLHL8	ENST00000273963.5	kelch-like family member 8 	266	3	1	0	2	2	hsa-miR-16-2-3p				-0.54	-0.56	N/A
RP11-944C7.1	ENST00000550332.2	Protein LOC100506792  	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.53	-0.53	N/A
PEX5L	ENST00000467460.1	peroxisomal biogenesis factor 5-like 	5	5	1	2	2	1	hsa-miR-16-2-3p				-0.53	-0.53	N/A
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	3	0	1	2	3	hsa-miR-16-2-3p				-0.52	-0.52	N/A
ACADM	ENST00000370841.4	acyl-CoA dehydrogenase, C-4 to C-12 straight chain 	5800	2	1	1	0	0	hsa-miR-195-3p				-0.51	-0.52	N/A
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	2	1	0	1	6	hsa-miR-16-2-3p				-0.51	-0.68	N/A
CHI3L2	ENST00000524472.1	chitinase 3-like 2 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.51	-0.51	N/A
USP16	ENST00000399975.3	ubiquitin specific peptidase 16 	42	1	1	0	0	1	hsa-miR-16-2-3p				-0.51	-0.51	N/A
TSPAN19	ENST00000532498.2	tetraspanin 19 	8	1	1	0	0	0	hsa-miR-16-2-3p				-0.51	-0.51	N/A
AC024257.1	ENST00000598930.1	CDNA FLJ26186 fis, clone ADG04757; Uncharacterized protein  	5	2	1	0	1	0	hsa-miR-16-2-3p				-0.51	-0.51	N/A
EFCAB1	ENST00000433756.1	EF-hand calcium binding domain 1 	5	2	1	0	1	1	hsa-miR-16-2-3p				-0.50	-0.50	N/A
KCNV1	ENST00000524391.1	potassium channel, subfamily V, member 1 	5	3	0	0	3	1	hsa-miR-16-2-3p				-0.50	-0.50	N/A
STEAP1	ENST00000297205.2	six transmembrane epithelial antigen of the prostate 1 	553	1	1	0	0	0	hsa-miR-16-2-3p				-0.50	-0.50	N/A
B2M	ENST00000558401.1	beta-2-microglobulin 	56489	1	1	0	0	0	hsa-miR-16-2-3p				-0.50	-0.50	N/A
ZNF699	ENST00000591998.1	zinc finger protein 699 	5	4	3	0	1	0	hsa-miR-16-2-3p				-0.49	-0.53	N/A
SYT16	ENST00000430451.2	synaptotagmin XVI 	5	2	1	1	0	0	hsa-miR-195-3p				-0.48	-0.48	N/A
CCDC179	ENST00000532798.2	coiled-coil domain containing 179 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.48	-0.48	N/A
WDR49	ENST00000479765.1	WD repeat domain 49 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.47	-0.47	N/A
ALDOB	ENST00000374855.4	aldolase B, fructose-bisphosphate 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.47	-0.47	N/A
SPTLC1	ENST00000262554.2	serine palmitoyltransferase, long chain base subunit 1 	2578	2	1	0	1	0	hsa-miR-195-3p				-0.47	-0.47	N/A
LEAP2	ENST00000296877.2	liver expressed antimicrobial peptide 2 	166	1	1	0	0	0	hsa-miR-195-3p				-0.45	-0.45	N/A
SYDE2	ENST00000341460.5	synapse defective 1, Rho GTPase, homolog 2 (C. elegans) 	72	2	1	0	1	0	hsa-miR-195-3p				-0.45	-0.51	N/A
SUB1	ENST00000265073.4	SUB1 homolog (S. cerevisiae) 	242	2	1	1	0	1	hsa-miR-195-3p				-0.45	-0.47	N/A
CTNNAL1	ENST00000374595.4	catenin (cadherin-associated protein), alpha-like 1 	5702	1	1	0	0	0	hsa-miR-16-2-3p				-0.45	-0.45	N/A
TBX20	ENST00000408931.3	T-box 20 	0	3	1	1	1	2	hsa-miR-16-2-3p				-0.45	-0.45	N/A
AC117834.1	ENST00000391681.1		5	1	1	0	0	1	hsa-miR-16-2-3p				-0.45	-0.45	N/A
MYL1	ENST00000341685.4	myosin, light chain 1, alkali; skeletal, fast 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.44	-0.44	N/A
SPATA9	ENST00000274432.8	spermatogenesis associated 9 	17	1	1	0	0	0	hsa-miR-16-2-3p				-0.44	-0.44	N/A
CHL1	ENST00000256509.2	cell adhesion molecule L1-like 	24	1	1	0	0	1	hsa-miR-16-2-3p				-0.44	-0.44	N/A
TEX30	ENST00000376027.1	testis expressed 30 	231	1	1	0	0	0	hsa-miR-16-2-3p				-0.44	-0.48	N/A
ECD	ENST00000372979.4	ecdysoneless homolog (Drosophila) 	179	2	1	0	1	0	hsa-miR-195-3p				-0.43	-0.53	N/A
RPE65	ENST00000262340.5	retinal pigment epithelium-specific protein 65kDa 	5	1	1	0	0	0	hsa-miR-195-3p				-0.43	-0.43	N/A
MSH2	ENST00000233146.2	mutS homolog 2 	1468	1	1	0	0	1	hsa-miR-16-2-3p				-0.43	-0.43	N/A
RFX7	ENST00000423270.1	regulatory factor X, 7 	1049	3	0	1	2	1	hsa-miR-16-2-3p				-0.42	-0.42	N/A
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	3	0	1	2	4	hsa-miR-16-2-3p				-0.42	-0.49	N/A
ANKRD66	ENST00000565422.1	ankyrin repeat domain 66 	5	1	1	0	0	1	hsa-miR-195-3p				-0.42	-0.42	N/A
N4BP2	ENST00000261435.6	NEDD4 binding protein 2 	16	3	1	2	0	2	hsa-miR-16-2-3p				-0.42	-0.42	N/A
BDH2	ENST00000296424.4	3-hydroxybutyrate dehydrogenase, type 2 	57	2	1	1	0	2	hsa-miR-16-2-3p				-0.42	-0.57	N/A
SIM1	ENST00000369208.3	single-minded homolog 1 (Drosophila) 	104	3	0	1	2	4	hsa-miR-195-3p				-0.41	-0.42	N/A
THOC7	ENST00000295899.5	THO complex 7 homolog (Drosophila) 	449	1	1	0	0	0	hsa-miR-195-3p				-0.41	-0.41	N/A
CD9	ENST00000382518.1	CD9 molecule 	4366	2	1	0	1	1	hsa-miR-16-2-3p				-0.41	-0.41	N/A
HORMAD1	ENST00000368995.4	HORMA domain containing 1 	153	1	0	1	0	1	hsa-miR-16-2-3p				-0.40	-0.42	N/A
C2orf66	ENST00000342506.2	chromosome 2 open reading frame 66 	22	1	1	0	0	1	hsa-miR-195-3p				-0.40	-0.42	N/A
C14orf39	ENST00000321731.3	chromosome 14 open reading frame 39 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.40	-0.40	N/A
TXNDC12	ENST00000371626.4	thioredoxin domain containing 12 (endoplasmic reticulum) 	101	2	1	1	0	0	hsa-miR-16-2-3p				-0.40	-0.45	N/A
TSLP	ENST00000379706.4	thymic stromal lymphopoietin 	62	1	1	0	0	0	hsa-miR-16-2-3p				-0.40	-0.40	N/A
CTTNBP2	ENST00000160373.3	cortactin binding protein 2 	29	2	2	0	0	0	hsa-miR-195-3p				-0.39	-0.39	N/A
TUBB2B	ENST00000259818.7	tubulin, beta 2B class IIb 	8782	1	1	0	0	0	hsa-miR-16-2-3p				-0.39	-0.39	N/A
AUH	ENST00000375731.4	AU RNA binding protein/enoyl-CoA hydratase 	66	1	1	0	0	1	hsa-miR-16-2-3p				-0.39	-0.39	N/A
GML	ENST00000220940.1	glycosylphosphatidylinositol anchored molecule like 	5	1	0	1	0	0	hsa-miR-16-2-3p				-0.39	-0.39	N/A
ZNF300	ENST00000427179.1	zinc finger protein 300 	107	2	1	1	0	1	hsa-miR-16-2-3p				-0.38	-0.38	N/A
VWC2	ENST00000340652.4	von Willebrand factor C domain containing 2 	5	5	0	2	3	0	hsa-miR-195-3p				-0.38	-0.38	N/A
PIGP	ENST00000360525.4	phosphatidylinositol glycan anchor biosynthesis, class P 	1621	2	0	2	0	1	hsa-miR-16-2-3p				-0.38	-0.46	N/A
CSTF2	ENST00000415585.2	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa 	385	2	1	0	1	2	hsa-miR-16-2-3p				-0.38	-0.39	N/A
SLC10A7	ENST00000264986.3	solute carrier family 10, member 7 	77	2	1	1	0	1	hsa-miR-195-3p				-0.37	-0.39	N/A
C11orf1	ENST00000260276.3	chromosome 11 open reading frame 1 	18	1	1	0	0	0	hsa-miR-16-2-3p				-0.37	-0.37	N/A
RGS5	ENST00000313961.5	regulator of G-protein signaling 5 	56	3	3	0	0	1	hsa-miR-16-2-3p				-0.37	-0.85	N/A
POLD4	ENST00000312419.3	polymerase (DNA-directed), delta 4, accessory subunit 	6724	1	1	0	0	0	hsa-miR-16-2-3p				-0.37	-0.37	N/A
UGT2B10	ENST00000265403.7	UDP glucuronosyltransferase 2 family, polypeptide B10 	5	2	0	1	1	0	hsa-miR-16-2-3p				-0.37	-0.37	N/A
SNAP47	ENST00000366760.1	synaptosomal-associated protein, 47kDa 	7416	1	1	0	0	1	hsa-miR-195-3p				-0.37	-0.37	N/A
TMED7	ENST00000456936.3	transmembrane emp24 protein transport domain containing 7 	1571	5	1	4	0	2	hsa-miR-195-3p				-0.37	-0.47	N/A
C16orf87	ENST00000394806.2	chromosome 16 open reading frame 87 	95	1	1	0	0	2	hsa-miR-195-3p				-0.37	-0.59	N/A
C5AR1	ENST00000355085.3	complement component 5a receptor 1 	5	2	1	0	1	0	hsa-miR-16-2-3p				-0.37	-0.37	N/A
MRPS22	ENST00000495075.1	mitochondrial ribosomal protein S22 	129	1	1	0	0	0	hsa-miR-16-2-3p				-0.37	-0.45	N/A
OR2L13	ENST00000358120.2	olfactory receptor, family 2, subfamily L, member 13 	5	3	1	1	1	0	hsa-miR-16-2-3p				-0.36	-0.36	N/A
AGO3	ENST00000373191.4	argonaute RISC catalytic component 3 	198	3	0	2	1	4	hsa-miR-16-2-3p				-0.36	-1.17	N/A
VPS13B	ENST00000395996.1	vacuolar protein sorting 13 homolog B (yeast) 	262	3	0	1	2	1	hsa-miR-16-2-3p				-0.36	-0.36	N/A
HAND2	ENST00000359562.4	heart and neural crest derivatives expressed 2 	30	1	1	0	0	0	hsa-miR-16-2-3p				-0.36	-0.36	N/A
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	0	0	2	1	hsa-miR-16-2-3p				-0.36	-0.38	N/A
CNR1	ENST00000362094.5	cannabinoid receptor 1 (brain) 	40	4	2	1	1	1	hsa-miR-16-2-3p				-0.36	-0.45	N/A
GYPA	ENST00000360771.4	glycophorin A (MNS blood group) 	5	2	0	1	1	0	hsa-miR-16-2-3p				-0.36	-0.36	N/A
SF3B14	ENST00000233468.4	Pre-mRNA branch site protein p14  	2135	1	0	1	0	2	hsa-miR-195-3p				-0.36	-0.36	N/A
MFSD8	ENST00000296468.3	major facilitator superfamily domain containing 8 	260	2	1	0	1	2	hsa-miR-16-2-3p				-0.36	-0.56	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	7	2	2	3	2	hsa-miR-16-2-3p				-0.36	-0.36	N/A
PABPC4L	ENST00000421491.3	poly(A) binding protein, cytoplasmic 4-like 	55	5	0	5	0	2	hsa-miR-16-2-3p				-0.36	-0.52	N/A
GPATCH11	ENST00000409774.1	G patch domain containing 11 	113	1	0	1	0	3	hsa-miR-16-2-3p				-0.35	-0.35	N/A
CD200	ENST00000315711.8	CD200 molecule 	5	2	1	1	0	1	hsa-miR-16-2-3p				-0.35	-0.35	N/A
FAM173B	ENST00000280330.8	family with sequence similarity 173, member B 	257	2	1	1	0	0	hsa-miR-195-3p				-0.35	-0.46	N/A
KERA	ENST00000266719.3	keratocan 	5	1	1	0	0	0	hsa-miR-195-3p				-0.35	-0.35	N/A
ANKRD49	ENST00000544253.1	ankyrin repeat domain 49 	32	3	0	1	2	3	hsa-miR-16-2-3p				-0.35	-0.35	N/A
HRASLS	ENST00000264735.2	HRAS-like suppressor 	40	2	0	0	2	0	hsa-miR-16-2-3p				-0.35	-0.35	N/A
PLAGL1	ENST00000360537.2	pleiomorphic adenoma gene-like 1 	40	2	1	1	0	0	hsa-miR-16-2-3p				-0.35	-0.35	N/A
C6orf57	ENST00000370474.3	chromosome 6 open reading frame 57 	445	1	0	1	0	0	hsa-miR-195-3p				-0.35	-0.35	N/A
LYRM7	ENST00000507584.1	LYR motif containing 7 	217	4	0	1	3	1	hsa-miR-195-3p				-0.35	-0.66	N/A
DENND4C	ENST00000380432.2	DENN/MADD domain containing 4C 	195	1	1	0	0	1	hsa-miR-16-2-3p				-0.34	-0.34	N/A
LRRC8B	ENST00000330947.2	leucine rich repeat containing 8 family, member B 	326	2	1	1	0	0	hsa-miR-16-2-3p				-0.34	-0.37	N/A
UBE2I	ENST00000355803.4	ubiquitin-conjugating enzyme E2I 	291	0	0	0	0	0	hsa-miR-195-3p				-0.34	-0.34	N/A
IL22	ENST00000538666.1	interleukin 22 	5	1	1	0	0	1	hsa-miR-16-2-3p				-0.34	-0.34	N/A
KIAA1586	ENST00000370733.4	KIAA1586 	76	2	1	0	1	2	hsa-miR-16-2-3p				-0.34	-0.43	N/A
AL953854.2	ENST00000438517.1		5	4	2	0	2	0	hsa-miR-16-2-3p				-0.34	-0.34	N/A
KLHDC1	ENST00000359332.2	kelch domain containing 1 	5	2	1	0	1	0	hsa-miR-16-2-3p				-0.34	-0.34	N/A
LRRTM4	ENST00000409911.1	leucine rich repeat transmembrane neuronal 4 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.34	-0.34	N/A
DCUN1D5	ENST00000260247.5	DCN1, defective in cullin neddylation 1, domain containing 5 	1486	5	2	0	3	2	hsa-miR-16-2-3p				-0.34	-1.48	N/A
HIST1H2BG	ENST00000244601.3	histone cluster 1, H2bg 	31	1	1	0	0	0	hsa-miR-16-2-3p				-0.34	-0.52	N/A
RPL7	ENST00000396467.1	ribosomal protein L7 	271	1	1	0	0	1	hsa-miR-16-2-3p				-0.34	-0.34	N/A
FAM181A	ENST00000267594.5	family with sequence similarity 181, member A 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.34	-0.34	N/A
FAM114A1	ENST00000358869.2	family with sequence similarity 114, member A1 	1504	3	1	0	2	1	hsa-miR-195-3p				-0.34	-0.34	N/A
FGF14	ENST00000376131.4	fibroblast growth factor 14 	5	3	1	1	1	2	hsa-miR-195-3p				-0.33	-0.33	N/A
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	2	1	0	1	0	hsa-miR-195-3p				-0.33	-0.33	N/A
DNAJB9	ENST00000249356.3	DnaJ (Hsp40) homolog, subfamily B, member 9 	282	2	1	1	0	0	hsa-miR-16-2-3p				-0.33	-0.34	N/A
CCL28	ENST00000361115.4	chemokine (C-C motif) ligand 28 	5	2	0	2	0	1	hsa-miR-195-3p				-0.33	-0.33	N/A
MTRNR2L6	ENST00000604952.1	MT-RNR2-like 6 	5	2	0	0	2	0	hsa-miR-16-2-3p				-0.33	-0.33	N/A
PSMC6	ENST00000445930.2	proteasome (prosome, macropain) 26S subunit, ATPase, 6 	72	1	1	0	0	0	hsa-miR-16-2-3p				-0.33	-0.33	N/A
UBE2E3	ENST00000410062.4	ubiquitin-conjugating enzyme E2E 3 	15	5*	0	2	2	1	hsa-miR-195-3p				-0.32	-0.53	N/A
RPE	ENST00000429907.1	ribulose-5-phosphate-3-epimerase 	333	3	2	1	0	0	hsa-miR-195-3p				-0.32	-0.36	N/A
KATNAL2	ENST00000245121.5	katanin p60 subunit A-like 2 	25	1	1	0	0	0	hsa-miR-16-2-3p				-0.32	-0.32	N/A
CMTM7	ENST00000334983.5	CKLF-like MARVEL transmembrane domain containing 7 	69	1	1	0	0	0	hsa-miR-16-2-3p				-0.32	-0.32	N/A
IMMP2L	ENST00000405709.2	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae) 	560	2	0	1	1	0	hsa-miR-195-3p				-0.32	-0.34	N/A
EVX2	ENST00000308618.4	even-skipped homeobox 2 	9	3	1	1	1	1	hsa-miR-195-3p				-0.32	-0.32	N/A
RFX4	ENST00000229387.5	regulatory factor X, 4 (influences HLA class II expression) 	5	1	1	0	0	0	hsa-miR-195-3p				-0.32	-0.32	N/A
ZNF273	ENST00000545510.1	zinc finger protein 273 	724	1	0	1	0	1	hsa-miR-16-2-3p				-0.32	-0.32	N/A
TCTEX1D2	ENST00000325318.5	Tctex1 domain containing 2 	3633	1	0	1	0	0	hsa-miR-195-3p				-0.32	-0.32	N/A
RAB6C	ENST00000410061.2	RAB6C, member RAS oncogene family 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.32	-0.32	N/A
KLF2	ENST00000248071.5	Kruppel-like factor 2 (lung) 	431	2	0	2	0	1	hsa-miR-195-3p				-0.32	-0.32	N/A
KCNH5	ENST00000322893.7	potassium voltage-gated channel, subfamily H (eag-related), member 5 	157	4	0	2	2	4	hsa-miR-16-2-3p				-0.32	-0.42	N/A
C4orf45	ENST00000434826.2	chromosome 4 open reading frame 45 	5	2	0	2	0	1	hsa-miR-16-2-3p				-0.32	-0.32	N/A
GPRIN3	ENST00000609438.1	GPRIN family member 3 	213	9	1	3	5	4	hsa-miR-16-2-3p				-0.32	-0.42	N/A
SAMD9L	ENST00000318238.4	sterile alpha motif domain containing 9-like 	5	1	1	0	0	1	hsa-miR-16-2-3p				-0.32	-0.32	N/A
CHMP4C	ENST00000297265.4	charged multivesicular body protein 4C 	398	2	0	1	1	1	hsa-miR-195-3p				-0.32	-0.32	N/A
FBXO28	ENST00000424254.2	F-box protein 28 	461	5	1	4	0	5	hsa-miR-195-3p				-0.31	-0.38	N/A
SLC2A13	ENST00000280871.4	solute carrier family 2 (facilitated glucose transporter), member 13 	47	2	1	1	0	2	hsa-miR-195-3p				-0.31	-0.39	N/A
STEAP2	ENST00000287908.3	STEAP family member 2, metalloreductase 	266	1	0	1	0	2	hsa-miR-16-2-3p				-0.31	-0.35	N/A
KCNJ15	ENST00000328656.4	potassium inwardly-rectifying channel, subfamily J, member 15 	5	3	1	1	1	1	hsa-miR-16-2-3p				-0.31	-0.31	N/A
CCSAP	ENST00000366687.1	centriole, cilia and spindle-associated protein 	1210	5	1	4	0	2	hsa-miR-16-2-3p				-0.31	-0.34	N/A
COL4A3	ENST00000396578.3	collagen, type IV, alpha 3 (Goodpasture antigen) 	286	2	0	1	1	3	hsa-miR-16-2-3p				-0.31	-0.31	N/A
VDAC1	ENST00000395044.3	voltage-dependent anion channel 1 	106	2	1	0	1	0	hsa-miR-16-2-3p				-0.31	-0.35	N/A
CCDC122	ENST00000444614.3	coiled-coil domain containing 122 	103	1	1	0	0	0	hsa-miR-16-2-3p				-0.31	-0.31	N/A
OXCT1	ENST00000196371.5	3-oxoacid CoA transferase 1 	1783	3	1	0	2	0	hsa-miR-16-2-3p				-0.31	-0.37	N/A
CEP44	ENST00000296519.4	centrosomal protein 44kDa 	376	2	0	1	1	1	hsa-miR-195-3p				-0.31	-0.31	N/A
SEPP1	ENST00000514985.1	selenoprotein P, plasma, 1 	134	3	1	1	1	1	hsa-miR-16-2-3p				-0.31	-0.46	N/A
HOXC12	ENST00000243103.3	homeobox C12 	5	1	1	0	0	0	hsa-miR-16-2-3p				-0.31	-0.31	N/A
BTG3	ENST00000339775.6	BTG family, member 3 	3656	2	0	1	1	1	hsa-miR-16-2-3p				-0.31	-0.31	N/A
MEX3B	ENST00000558133.1	mex-3 RNA binding family member B 	1401	1	1	0	0	1	hsa-miR-16-2-3p				-0.31	-0.35	N/A
MARC2	ENST00000366913.3	mitochondrial amidoxime reducing component 2 	213	2	1	1	0	0	hsa-miR-195-3p				-0.31	-0.31	N/A
ERO1L	ENST00000395686.3	ERO1-like (S. cerevisiae) 	1333	1	1	0	0	2	hsa-miR-16-2-3p				-0.30	-0.31	N/A
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	4	0	4	0	3	hsa-miR-195-3p				-0.30	-0.30	N/A
SUMO3	ENST00000332859.6	small ubiquitin-like modifier 3 	11677	2	1	1	0	1	hsa-miR-16-2-3p				-0.30	-0.38	N/A
RSL24D1	ENST00000260443.4	ribosomal L24 domain containing 1 	80	1	1	0	0	0	hsa-miR-16-2-3p				-0.30	-0.30	N/A
EPPIN	ENST00000555685.1	epididymal peptidase inhibitor 	5	1	1	0	0	1	hsa-miR-16-2-3p				-0.30	-0.30	N/A
EPPIN-WFDC6	ENST00000504988.1	EPPIN-WFDC6 readthrough 	5	1	1	0	0	1	hsa-miR-16-2-3p				-0.30	-0.30	N/A
AC008964.1	ENST00000593965.1		5	2	0	1	1	0	hsa-miR-195-3p				-0.30	-0.30	N/A
HEMGN	ENST00000259456.3	hemogen 	5	2	0	2	0	0	hsa-miR-16-2-3p				-0.30	-0.30	N/A
WDR17	ENST00000393643.2	WD repeat domain 17 	113	1	1	0	0	2	hsa-miR-16-2-3p				-0.30	-0.31	N/A
AKAP5	ENST00000394718.4	A kinase (PRKA) anchor protein 5 	75	5	1	0	4	0	hsa-miR-16-2-3p				-0.30	-0.32	N/A
TDG	ENST00000392872.3	thymine-DNA glycosylase 	201	1	1	0	0	0	hsa-miR-16-2-3p				-0.30	-0.30	N/A
CREBZF	ENST00000398294.2	CREB/ATF bZIP transcription factor 	1115	3*	1	0	1	3	hsa-miR-195-3p				-0.30	-0.45	N/A
ALG10B	ENST00000308742.4	ALG10B, alpha-1,2-glucosyltransferase 	471	3	1	2	0	4	hsa-miR-195-3p				-0.29	-0.32	N/A
ZFP36	ENST00000597629.1	ZFP36 ring finger protein 	157	1	1	0	0	1	hsa-miR-16-2-3p				-0.29	-0.31	N/A
C5orf30	ENST00000319933.2	chromosome 5 open reading frame 30 	889	1	1	0	0	1	hsa-miR-195-3p				-0.29	-0.31	N/A
CDK1	ENST00000395284.3	cyclin-dependent kinase 1 	3029	1	1	0	0	1	hsa-miR-195-3p				-0.29	-0.41	N/A
FGF20	ENST00000180166.5	fibroblast growth factor 20 	5	1	1	0	0	0	hsa-miR-195-3p				-0.29	-0.29	N/A
NUDT10	ENST00000376006.3	nudix (nucleoside diphosphate linked moiety X)-type motif 10 	9	1	1	0	0	1	hsa-miR-16-2-3p				-0.29	-0.29	N/A
HAPLN1	ENST00000274341.4	hyaluronan and proteoglycan link protein 1 	5	2	0	1	1	1	hsa-miR-16-2-3p				-0.29	-0.29	N/A
SHQ1	ENST00000325599.8	SHQ1, H/ACA ribonucleoprotein assembly factor 	29	1	1	0	0	0	hsa-miR-16-2-3p				-0.29	-0.29	N/A
CHM	ENST00000357749.2	choroideremia (Rab escort protein 1) 	217	1	0	0	1	5	hsa-miR-16-2-3p				-0.29	-0.29	N/A
IMPA1	ENST00000311489.4	inositol(myo)-1(or 4)-monophosphatase 1 	309	1	1	0	0	0	hsa-miR-16-2-3p				-0.29	-0.30	N/A
CA8	ENST00000317995.4	carbonic anhydrase VIII 	197	2	1	0	1	0	hsa-miR-16-2-3p				-0.29	-0.34	N/A
RAB27B	ENST00000262094.5	RAB27B, member RAS oncogene family 	5	4	0	3	1	1	hsa-miR-16-2-3p				-0.29	-0.29	N/A
PYROXD1	ENST00000240651.9	pyridine nucleotide-disulphide oxidoreductase domain 1 	5	3	0	2	1	0	hsa-miR-16-2-3p				-0.29	-0.29	N/A
DSTN	ENST00000246069.7	destrin (actin depolymerizing factor) 	10116	2	2	0	0	0	hsa-miR-195-3p				-0.29	-0.45	N/A
C10orf118	ENST00000543782.1	chromosome 10 open reading frame 118 	146	3	0	2	1	2	hsa-miR-16-2-3p				-0.29	-0.31	N/A
EFCAB6	ENST00000356087.4	EF-hand calcium binding domain 6 	23	2	0	1	1	4	hsa-miR-195-3p				-0.29	-0.38	N/A
CCNB2	ENST00000288207.2	cyclin B2 	3888	1	0	0	1	0	hsa-miR-16-2-3p				-0.28	-0.28	N/A
