Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZBTB42	ENST00000342537.7	zinc finger and BTB domain containing 42 	182	1	1	0	0	1	1	0	0	2	hsa-miR-199a-5p	0.0833	0.4449	1.2914	-0.73	-0.80	0.90	2011
CRYBG3	ENST00000389622.2	beta-gamma crystallin domain containing 3 	46	1	1	0	0	1	0	1	0	0	hsa-miR-199b-5p	0.0400	0.2425	0.8214	-0.73	-0.73	0.88	2009
ZNF878	ENST00000547628.1	zinc finger protein 878 	17	0	0	0	0	2	0	1	1	0	hsa-miR-199a-5p	0.0212	0.1534	0.9904	-0.73	-0.73	< 0.1	NULL
ZNF30	ENST00000601957.1	zinc finger protein 30 	99	0	0	0	0	5	0	5	0	0	hsa-miR-199a-5p	0.0254	0.1809	1.0691	-0.73	-0.73	< 0.1	NULL
RBM47	ENST00000319592.4	RNA binding motif protein 47 	264	1	1	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0780	0.4760	1.6607	-0.71	-0.73	0.39	2005, 2007, 2009, 2011
PDPN	ENST00000294489.6	podoplanin 	264	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0359	0.2255	0.8594	-0.70	-0.96	0.92	2009, 2011
HMCN1	ENST00000367492.2	hemicentin 1 	7	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0521	0.3392	1.5553	-0.69	-0.69	0.71	2007, 2009, 2011
MGAT4B	ENST00000337755.5	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B 	533	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0554	0.3065	0.8232	-0.68	-0.68	0.89	2005, 2007, 2009, 2011
MAB21L1	ENST00000379919.4	mab-21-like 1 (C. elegans) 	25	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0765	0.3800	0.8216	-0.68	-0.68	0.89	2005, 2007, 2009, 2011
FP15737	ENST00000399967.3		67	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0504	0.2886	0.8723	-0.67	-0.73	0.93	NULL
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	1	0	1	0	0	0	0	2	hsa-miR-199a-5p	0.0573	0.3627	1.4954	-0.67	-0.83	0.80	2011
NR1I3	ENST00000508387.1	nuclear receptor subfamily 1, group I, member 3 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0147	0.0991	0.4479	-0.67	-0.67	< 0.1	NULL
RP11-122A3.2	ENST00000517562.2	uncharacterized protein LOC100127983  	579	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0745	0.3729	0.8146	-0.67	-0.67	0.60	2011
POTEF	ENST00000357462.5	POTE ankyrin domain family, member F 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0501	0.3038	1.0889	-0.66	-0.66	< 0.1	NULL
ARHGAP21	ENST00000396432.2	Rho GTPase activating protein 21 	10	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0906	0.4353	0.9764	-0.66	-0.66	0.89	2005, 2007, 2009, 2011
ZNF225	ENST00000592780.1	zinc finger protein 225 	100	3	2	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0145	0.1041	0.6331	-0.66	-0.72	< 0.1	NULL
TSPAN6	ENST00000373020.4	tetraspanin 6 	885	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0955	0.4399	0.8699	-0.65	-0.67	0.93	2007, 2009, 2011
ECE1	ENST00000415912.2	endothelin converting enzyme 1 	1166	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0662	0.3615	1.0233	-0.63	-0.63	0.94	2009, 2011
SULF1	ENST00000458141.2	sulfatase 1 	11	2	1	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0551	0.3496	1.4086	-0.63	-0.63	0.90	2007, 2009, 2011
GCNT2	ENST00000316170.3	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group) 	651	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0694	0.3723	1.0102	-0.63	-0.63	0.93	2005, 2007, 2009, 2011
AKAP1	ENST00000337714.3	A kinase (PRKA) anchor protein 1 	843	1	1	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0560	0.3141	0.8980	-0.62	-0.64	0.93	2005, 2007, 2009, 2011
IGFBP1	ENST00000275525.3	insulin-like growth factor binding protein 1 	17	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0213	0.1383	0.5426	-0.62	-0.62	< 0.1	NULL
FAM222B	ENST00000582266.1	family with sequence similarity 222, member B 	100	1	0	1	0	1	0	1	0	1	hsa-miR-199a-5p	0.0259	0.1818	0.9936	-0.62	-0.74	0.57	2007, 2009, 2011
ZNF28	ENST00000438150.2	zinc finger protein 28 	9	0	0	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0230	0.1637	0.9860	-0.62	-0.62	0.15	NULL
ALS2	ENST00000457679.2	amyotrophic lateral sclerosis 2 (juvenile) 	206	1	1	0	0	2	0	1	1	1	hsa-miR-199b-5p	0.0658	0.4049	1.5978	-0.61	-0.64	0.38	2005, 2007, 2009, 2011
GPR89B	ENST00000314163.7	G protein-coupled receptor 89B 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0476	0.2751	0.8180	-0.61	-0.61	0.51	2011
AC137056.1	ENST00000593357.1	Uncharacterized protein; cDNA FLJ34659 fis, clone KIDNE2018863  	5	0	0	0	0	1	1	0	0	1	hsa-miR-199b-5p	0.0331	0.2063	0.7374	-0.61	-0.61	< 0.1	NULL
MAGT1	ENST00000358075.6	magnesium transporter 1 	937	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0336	0.2053	0.6682	-0.60	-0.60	0.58	2011
SLC24A3	ENST00000328041.6	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3 	63	2	1	1	0	0	0	0	0	4	hsa-miR-199a-5p	0.0391	0.2632	1.2186	-0.60	-0.60	0.89	2007, 2009, 2011
ZNF705B	ENST00000443676.1	zinc finger protein 705B 	5	0	0	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0128	0.0903	0.5124	-0.60	-0.60	0.20	NULL
CLDN22	ENST00000323319.5	claudin 22 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0301	0.2014	0.9220	-0.60	-0.60	< 0.1	NULL
ZNF846	ENST00000586293.1	zinc finger protein 846 	10	2	2	0	0	2	2	0	0	0	hsa-miR-199a-5p	0.0132	0.0937	0.5299	-0.59	-1.75	< 0.1	NULL
ZNF705D	ENST00000400085.3	zinc finger protein 705D 	5	0	0	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0123	0.0871	0.5002	-0.59	-0.59	0.15	NULL
B3GNT1	ENST00000311181.4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	2688	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0528	0.2917	0.7527	-0.59	-0.59	0.80	2007, 2009, 2011
TGFB2	ENST00000366930.4	transforming growth factor, beta 2 	157	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.1046	0.4665	0.8985	-0.58	-0.61	0.93	2011
ZNF329	ENST00000598312.1	zinc finger protein 329 	163	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0557	0.3293	1.1097	-0.58	-0.58	0.84	2009, 2011
AC022431.2	ENST00000438651.1	Uncharacterized protein  	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0075	0.0528	0.2918	-0.58	-0.58	< 0.1	NULL
USPL1	ENST00000255304.4	ubiquitin specific peptidase like 1 	7	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0210	0.1373	0.5535	-0.58	-0.58	< 0.1	NULL
EPB41L1	ENST00000441639.1	erythrocyte membrane protein band 4.1-like 1 	369	2	1	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0614	0.3565	1.1453	-0.58	-0.58	0.92	2005, 2007, 2009, 2011
ZNF233	ENST00000592581.1	zinc finger protein 233 	6	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0152	0.1078	0.6095	-0.58	-0.58	< 0.1	NULL
HDDC2	ENST00000608295.1	HD domain containing 2 	1973	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0154	0.1037	0.4602	-0.58	-0.58	< 0.1	NULL
VPS26A	ENST00000395098.1	vacuolar protein sorting 26 homolog A (S. pombe) 	127	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0498	0.2790	0.7409	-0.57	-0.57	0.88	2007, 2009, 2011
FLRT3	ENST00000378053.3	fibronectin leucine rich transmembrane protein 3 	11	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0987	0.4722	1.0859	-0.57	-0.57	0.93	2005, 2007, 2009, 2011
CCDC43	ENST00000457422.2	coiled-coil domain containing 43 	36	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0915	0.4287	0.8714	-0.57	-0.57	0.69	2007, 2009, 2011
GJA5	ENST00000271348.2	gap junction protein, alpha 5, 40kDa 	5	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0638	0.3608	1.0921	-0.57	-0.57	0.32	2011
PODXL	ENST00000541194.1	podocalyxin-like 	2928	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0851	0.4333	1.1521	-0.57	-0.58	0.94	2005, 2007, 2009, 2011
ZNF514	ENST00000295208.2	zinc finger protein 514 	32	0	0	0	0	3	0	2	1	0	hsa-miR-199a-5p	0.0169	0.1224	0.7934	-0.57	-0.63	0.16	NULL
FZD6	ENST00000358755.4	frizzled family receptor 6 	161	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0810	0.4356	1.2585	-0.56	-0.56	0.90	2005, 2007, 2009, 2011
ANGEL2	ENST00000535388.1	angel homolog 2 (Drosophila) 	218	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0235	0.1592	0.7604	-0.56	-0.56	< 0.1	NULL
ENO3	ENST00000323997.6	enolase 3 (beta, muscle) 	109	0	0	0	0	2	0	1	1	0	hsa-miR-199b-5p	0.0302	0.1893	0.6795	-0.56	-0.56	0.18	NULL
TXNDC12	ENST00000371626.4	thioredoxin domain containing 12 (endoplasmic reticulum) 	101	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0194	0.1295	0.5735	-0.56	-0.56	0.12	NULL
BPIFC	ENST00000397452.1	BPI fold containing family C 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0147	0.1014	0.5086	-0.56	-0.56	< 0.1	NULL
GFRAL	ENST00000340465.2	GDNF family receptor alpha like 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0154	0.1039	0.4679	-0.55	-0.55	< 0.1	NULL
ARF6	ENST00000298316.5	ADP-ribosylation factor 6 	31	1	1	0	0	1	0	1	0	0	hsa-miR-199b-5p	0.0613	0.3555	1.1841	-0.55	-0.69	0.43	2011
PPP1R2	ENST00000328432.3	protein phosphatase 1, regulatory (inhibitor) subunit 2 	8	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0530	0.3126	1.0313	-0.55	-0.55	0.80	2005, 2007, 2009, 2011
FAM107B	ENST00000378470.1	family with sequence similarity 107, member B 	403	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0376	0.2243	0.6853	-0.55	-0.55	0.91	2009, 2011
ZNF490	ENST00000311437.6	zinc finger protein 490 	97	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0172	0.1237	0.7801	-0.55	-0.55	0.19	2011
NUDT5	ENST00000491614.1	nudix (nucleoside diphosphate linked moiety X)-type motif 5 	808	0	0	0	0	2	1	1	0	1	hsa-miR-199a-5p	0.0262	0.1810	0.9206	-0.55	-0.58	0.21	NULL
ACPT	ENST00000270593.1	acid phosphatase, testicular 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0058	0.0414	0.2419	-0.55	-0.55	0.30	NULL
TESPA1	ENST00000524622.1	thymocyte expressed, positive selection associated 1 	5	0	0	0	0	2	1	1	0	0	hsa-miR-199a-5p	0.0275	0.1887	0.9362	-0.55	-0.55	< 0.1	NULL
ARHGAP12	ENST00000311380.4	Rho GTPase activating protein 12 	190	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.1031	0.4866	1.1464	-0.55	-0.55	0.87	2005, 2007, 2009, 2011
TAF9B	ENST00000341864.5	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa 	19	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0332	0.2031	0.6629	-0.55	-0.55	0.79	2007, 2009, 2011
GPR89A	ENST00000313835.9	G protein-coupled receptor 89A 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0461	0.2686	0.8111	-0.54	-0.54	0.44	2009, 2011
POTEG	ENST00000409832.3	POTE ankyrin domain family, member G 	5	0	0	0	0	4	1	0	3	0	hsa-miR-199a-5p	0.0612	0.3748	1.4736	-0.54	-0.54	< 0.1	NULL
POTEM	ENST00000551509.1	POTE ankyrin domain family, member M 	5	0	0	0	0	4	1	0	3	0	hsa-miR-199a-5p	0.0611	0.3737	1.4677	-0.54	-0.54	< 0.1	NULL
RASSF2	ENST00000379400.3	Ras association (RalGDS/AF-6) domain family member 2 	88	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.1142	0.5073	1.0731	-0.54	-0.54	0.89	2005, 2007, 2009, 2011
RPUSD3	ENST00000433535.2	RNA pseudouridylate synthase domain containing 3 	246	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0094	0.0656	0.3447	-0.54	-0.54	< 0.1	NULL
TMEM66	ENST00000256255.6	transmembrane protein 66 	310	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0275	0.1727	0.6067	-0.54	-0.54	< 0.1	2009, 2011
METTL21A	ENST00000448823.2	methyltransferase like 21A 	224	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0096	0.0666	0.3459	-0.54	-0.54	< 0.1	NULL
UBL3	ENST00000380680.4	ubiquitin-like 3 	431	1	1	0	0	0	0	0	0	2	hsa-miR-199b-5p	0.0182	0.1266	0.6708	-0.53	-0.53	0.34	2009, 2011
GPR89C	ENST00000447947.2	G protein-coupled receptor 89C 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0442	0.2549	0.7165	-0.53	-0.53	0.48	2011
ABHD17C	ENST00000258884.4	abhydrolase domain containing 17C 	406	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0512	0.2990	1.0168	-0.53	-0.61	0.85	2009, 2011
KL	ENST00000380099.3	klotho 	5	0	0	0	0	2	2	0	0	1	hsa-miR-199a-5p	0.0421	0.2745	1.1308	-0.53	-0.53	0.19	2005, 2007, 2009, 2011
ZNF442	ENST00000242804.4	zinc finger protein 442 	10	0	0	0	0	1	0	0	1	1	hsa-miR-199b-5p	0.0276	0.2011	1.3571	-0.52	-1.46	< 0.1	NULL
ASRGL1	ENST00000415229.2	asparaginase like 1 	20	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0269	0.1719	0.6489	-0.52	-0.52	0.21	2009, 2011
FABP2	ENST00000274024.3	fatty acid binding protein 2, intestinal 	5	0	0	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0200	0.1372	0.6936	-0.52	-0.52	< 0.1	NULL
FGFBP2	ENST00000259989.6	fibroblast growth factor binding protein 2 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0115	0.0795	0.4032	-0.52	-0.52	< 0.1	NULL
ZNF701	ENST00000540331.1	zinc finger protein 701 	15	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0221	0.1548	0.8666	-0.52	-0.52	< 0.1	2009
ALPK2	ENST00000361673.3	alpha-kinase 2 	395	0	0	0	0	1	0	0	1	2	hsa-miR-199a-5p	0.0086	0.0627	0.4248	-0.52	-0.52	< 0.1	NULL
