Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ACOX2	ENST00000459701.2	acyl-CoA oxidase 2, branched chain 	8	1	1	0	0	0	hsa-miR-103a-2-5p				-0.59	-0.59	N/A
AC091801.1	ENST00000402115.1	LOC392621; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.59	-0.59	N/A
NGLY1	ENST00000422724.2	N-glycanase 1 	31	2	1	1	0	0	hsa-miR-103a-2-5p				-0.58	-0.58	N/A
AFMID	ENST00000588800.1	arylformamidase 	538	1	1	0	0	0	hsa-miR-103a-2-5p				-0.58	-0.59	N/A
TMIE	ENST00000326431.3	transmembrane inner ear 	26	2	1	1	0	0	hsa-miR-103a-2-5p				-0.58	-0.58	N/A
AGAP1	ENST00000304032.8	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 	109	2	0	0	2	2	hsa-miR-103a-2-5p				-0.58	-0.62	N/A
RGS1	ENST00000367459.3	regulator of G-protein signaling 1 	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.57	-0.57	N/A
SYCP3	ENST00000266743.2	synaptonemal complex protein 3 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.57	-0.57	N/A
FFAR2	ENST00000599180.2	free fatty acid receptor 2 	5	3	1	0	2	0	hsa-miR-103a-2-5p				-0.56	-0.56	N/A
CD83	ENST00000379153.3	CD83 molecule 	414	2	1	1	0	0	hsa-miR-103a-2-5p				-0.56	-0.57	N/A
DDC	ENST00000357936.5	dopa decarboxylase (aromatic L-amino acid decarboxylase) 	547	1	1	0	0	0	hsa-miR-103a-2-5p				-0.56	-0.56	N/A
ACTA1	ENST00000366684.3	actin, alpha 1, skeletal muscle 	14	1	1	0	0	0	hsa-miR-103a-2-5p				-0.56	-0.56	N/A
CCDC18	ENST00000334652.5	coiled-coil domain containing 18 	35	3	0	2	1	1	hsa-miR-103a-2-5p				-0.55	-0.55	N/A
AC023590.1	ENST00000366457.2	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.55	-0.55	N/A
RPL35	ENST00000373570.4	ribosomal protein L35 	5542	1	1	0	0	0	hsa-miR-103a-2-5p				-0.54	-0.54	N/A
C2orf40	ENST00000238044.3	chromosome 2 open reading frame 40 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.54	-0.54	N/A
PEAK1	ENST00000312493.4	pseudopodium-enriched atypical kinase 1 	209	2	0	1	1	3	hsa-miR-103a-2-5p				-0.54	-0.60	N/A
SELK	ENST00000541726.1	Selenoprotein K  	400	2	2	0	0	0	hsa-miR-103a-2-5p				-0.54	-0.96	N/A
CERS5	ENST00000317551.6	ceramide synthase 5 	86	1	1	0	0	0	hsa-miR-103a-2-5p				-0.54	-0.54	N/A
LECT1	ENST00000448904.2	leukocyte cell derived chemotaxin 1 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.54	-0.54	N/A
ZNF485	ENST00000361807.3	zinc finger protein 485 	36	2	2	0	0	0	hsa-miR-103a-2-5p				-0.53	-0.74	N/A
LRRC31	ENST00000523069.1	leucine rich repeat containing 31 	5	1	1	0	0	1	hsa-miR-103a-2-5p				-0.53	-0.56	N/A
FAM162B	ENST00000368557.4	family with sequence similarity 162, member B 	12	1	1	0	0	1	hsa-miR-103a-2-5p				-0.53	-0.53	N/A
RPS11	ENST00000599561.1	ribosomal protein S11 	531	1	1	0	0	0	hsa-miR-103a-2-5p				-0.52	-0.53	N/A
MKRN1	ENST00000255977.2	makorin ring finger protein 1 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.52	-0.52	N/A
IFT20	ENST00000357896.3	intraflagellar transport 20 homolog (Chlamydomonas) 	912	2	0	0	2	0	hsa-miR-103a-2-5p				-0.52	-0.52	N/A
TRIP13	ENST00000166345.3	thyroid hormone receptor interactor 13 	3078	1	1	0	0	1	hsa-miR-103a-2-5p				-0.52	-0.52	N/A
MTHFD2L	ENST00000433372.1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like 	27	1	1	0	0	0	hsa-miR-103a-2-5p				-0.51	-0.51	N/A
KPNA7	ENST00000327442.6	karyopherin alpha 7 (importin alpha 8) 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.51	-0.51	N/A
HIST1H2BK	ENST00000396891.4	histone cluster 1, H2bk 	57	1	1	0	0	0	hsa-miR-103a-2-5p				-0.51	-0.51	N/A
IL36G	ENST00000259205.4	interleukin 36, gamma 	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.51	-0.51	N/A
RSPO3	ENST00000356698.4	R-spondin 3 	118	1	1	0	0	0	hsa-miR-103a-2-5p				-0.50	-0.50	N/A
RP11-297M9.1	ENST00000561538.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.50	-0.50	N/A
CACNG2	ENST00000300105.6	calcium channel, voltage-dependent, gamma subunit 2 	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.50	-0.53	N/A
GHR	ENST00000230882.4	growth hormone receptor 	102	2	2	0	0	0	hsa-miR-103a-2-5p				-0.50	-0.50	N/A
MTX3	ENST00000509852.1	metaxin 3 	304	3	2	1	0	0	hsa-miR-103a-2-5p				-0.50	-0.51	N/A
CHST9	ENST00000580774.1	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 	20	2	1	1	0	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
AL136115.1	ENST00000391369.1	HCG2032337; PRO1848; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
IFNA16	ENST00000380216.1	interferon, alpha 16 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
CLGN	ENST00000325617.5	calmegin 	288	1	1	0	0	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
MIS12	ENST00000381165.3	MIS12 kinetochore complex component 	1061	2	1	1	0	0	hsa-miR-103a-2-5p				-0.49	-0.53	N/A
EXOSC10	ENST00000544779.1	exosome component 10 	138	3	0	2	1	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
CLEC3A	ENST00000299642.4	C-type lectin domain family 3, member A 	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.49	-0.49	N/A
CDH11	ENST00000394156.3	cadherin 11, type 2, OB-cadherin (osteoblast) 	448	3	1	2	0	1	hsa-miR-103a-2-5p				-0.49	-0.53	N/A
C5orf42	ENST00000508244.1	chromosome 5 open reading frame 42 	45	3	1	0	2	0	hsa-miR-103a-2-5p				-0.49	-0.51	N/A
PSME3	ENST00000541124.1	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki) 	3605	3	0	2	1	0	hsa-miR-103a-2-5p				-0.48	-0.58	N/A
DROSHA	ENST00000511367.2	drosha, ribonuclease type III 	3272	1	1	0	0	0	hsa-miR-103a-2-5p				-0.48	-0.57	N/A
UBE2D4	ENST00000222402.3	ubiquitin-conjugating enzyme E2D 4 (putative) 	20	4	3	0	1	4	hsa-miR-103a-2-5p				-0.48	-0.61	N/A
APOBEC3H	ENST00000401756.1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.48	-0.48	N/A
NGEF	ENST00000264051.3	neuronal guanine nucleotide exchange factor 	13	1	1	0	0	0	hsa-miR-103a-2-5p				-0.48	-0.48	N/A
AC069547.2	ENST00000596442.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.48	-0.48	N/A
TRIM32	ENST00000373983.2	tripartite motif containing 32 	285	1	1	0	0	1	hsa-miR-103a-2-5p				-0.48	-0.49	N/A
KCNK1	ENST00000366621.3	potassium channel, subfamily K, member 1 	410	4	0	1	3	3	hsa-miR-103a-2-5p				-0.48	-0.55	N/A
TGIF2LY	ENST00000321217.4	TGFB-induced factor homeobox 2-like, Y-linked 	5	2	2	0	0	0	hsa-miR-103a-2-5p				-0.48	-0.76	N/A
MGA	ENST00000219905.7	MGA, MAX dimerization protein 	250	2	1	1	0	2	hsa-miR-103a-2-5p				-0.47	-0.73	N/A
RBP5	ENST00000266560.3	retinol binding protein 5, cellular 	256	1	1	0	0	0	hsa-miR-103a-2-5p				-0.47	-0.47	N/A
WFDC12	ENST00000372785.3	WAP four-disulfide core domain 12 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.47	-0.47	N/A
FAM153C	ENST00000398106.2	family with sequence similarity 153, member C 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.47	-0.47	N/A
TTC6	ENST00000382320.3	tetratricopeptide repeat domain 6 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.47	-0.47	N/A
CLLU1	ENST00000378485.1	chronic lymphocytic leukemia up-regulated 1 	5	2	1	1	0	0	hsa-miR-103a-2-5p				-0.46	-0.46	N/A
POMZP3	ENST00000310842.4	POM121 and ZP3 fusion 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.46	-0.46	N/A
ZNF236	ENST00000253159.8	zinc finger protein 236 	60	3	2	0	1	0	hsa-miR-103a-2-5p				-0.46	-0.46	N/A
CD84	ENST00000534968.1	CD84 molecule 	5	5	2	1	2	5	hsa-miR-103a-2-5p				-0.46	-0.53	N/A
BCL6B	ENST00000293805.5	B-cell CLL/lymphoma 6, member B 	7	3	1	2	0	0	hsa-miR-103a-2-5p				-0.46	-0.46	N/A
AC079210.1	ENST00000600820.1	Uncharacterized protein; cDNA FLJ45097 fis, clone BRAWH3031054  	5	3	1	1	1	0	hsa-miR-103a-2-5p				-0.46	-0.46	N/A
NCR3LG1	ENST00000338965.4	natural killer cell cytotoxicity receptor 3 ligand 1 	214	4	1	2	1	2	hsa-miR-103a-2-5p				-0.46	-0.47	N/A
C10orf107	ENST00000330194.2	chromosome 10 open reading frame 107 	6	1	1	0	0	0	hsa-miR-103a-2-5p				-0.46	-0.54	N/A
CYSLTR2	ENST00000282018.3	cysteinyl leukotriene receptor 2 	5	3	1	1	1	2	hsa-miR-103a-2-5p				-0.45	-0.65	N/A
FAM221B	ENST00000423537.2	family with sequence similarity 221, member B 	5	2	0	1	1	0	hsa-miR-103a-2-5p				-0.45	-0.45	N/A
TUBB2B	ENST00000259818.7	tubulin, beta 2B class IIb 	8782	1	1	0	0	0	hsa-miR-103a-2-5p				-0.45	-0.45	N/A
ZNF550	ENST00000325134.5	zinc finger protein 550 	76	2	1	0	1	2	hsa-miR-103a-2-5p				-0.45	-0.51	N/A
SRGN	ENST00000242465.3	serglycin 	1156	2	0	1	1	0	hsa-miR-103a-2-5p				-0.45	-0.45	N/A
TMEFF2	ENST00000392314.1	transmembrane protein with EGF-like and two follistatin-like domains 2 	179	2	0	0	2	0	hsa-miR-103a-2-5p				-0.45	-0.45	N/A
POLR3C	ENST00000369294.1	polymerase (RNA) III (DNA directed) polypeptide C (62kD) 	582	1	1	0	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
AC012360.2	ENST00000595531.1	LOC644617 protein; Uncharacterized protein  	430	1	1	0	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
POMGNT1	ENST00000396420.3	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) 	2123	3	1	2	0	1	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
HORMAD2	ENST00000336726.6	HORMA domain containing 2 	5	2	1	1	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
SLC28A3	ENST00000376238.4	solute carrier family 28 (concentrative nucleoside transporter), member 3 	14	2	1	1	0	1	hsa-miR-103a-2-5p				-0.44	-0.47	N/A
PRDM7	ENST00000325921.6	PR domain containing 7 	5	1	1	0	0	1	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
GOLT1B	ENST00000540141.1	golgi transport 1B 	848	1	1	0	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
ZNF711	ENST00000360700.4	zinc finger protein 711 	5614	2	1	1	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
CD8B	ENST00000393759.2	CD8b molecule 	10	1	1	0	0	1	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
PSMD10	ENST00000372296.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 	44	1	1	0	0	0	hsa-miR-103a-2-5p				-0.44	-0.44	N/A
TAF7	ENST00000313368.5	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa 	783	1	1	0	0	1	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
BACH1	ENST00000286800.3	BTB and CNC homology 1, basic leucine zipper transcription factor 1 	273	2	1	0	1	0	hsa-miR-103a-2-5p				-0.43	-0.54	N/A
P2RY12	ENST00000302632.3	purinergic receptor P2Y, G-protein coupled, 12 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
EVC	ENST00000382674.2	Ellis van Creveld syndrome 	165	1	0	0	1	5	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
GPR82	ENST00000302548.4	G protein-coupled receptor 82 	5	3	1	0	2	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
ZNF302	ENST00000505365.2	zinc finger protein 302 	13	2	0	0	2	2	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
LYPD5	ENST00000377950.3	LY6/PLAUR domain containing 5 	9	2	1	0	1	1	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
SNX24	ENST00000513881.1	sorting nexin 24 	352	4	1	1	2	0	hsa-miR-103a-2-5p				-0.43	-0.62	N/A
ZNF605	ENST00000360187.4	zinc finger protein 605 	147	3	2	1	0	2	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
MRS2	ENST00000274747.7	MRS2 magnesium transporter 	826	3	0	0	3	2	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
NPFFR2	ENST00000344413.5	neuropeptide FF receptor 2 	8	2	1	1	0	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
BEND3	ENST00000369042.1	BEN domain containing 3 	13	2	0	1	1	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
TJP2	ENST00000453658.2	tight junction protein 2 	527	1	1	0	0	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
SYNE2	ENST00000358025.3	spectrin repeat containing, nuclear envelope 2 	27	1	0	0	1	0	hsa-miR-103a-2-5p				-0.43	-0.43	N/A
TRIM24	ENST00000343526.4	tripartite motif containing 24 	182	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
SAPCD1	ENST00000415669.2	suppressor APC domain containing 1 	12	1	1	0	0	1	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
KANK4	ENST00000317477.4	KN motif and ankyrin repeat domains 4 	80	4	2	1	1	0	hsa-miR-103a-2-5p				-0.42	-0.61	N/A
GTPBP6	ENST00000326153.4	GTP binding protein 6 (putative) 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
CHGB	ENST00000378961.4	chromogranin B (secretogranin 1) 	57	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
ALDH8A1	ENST00000265605.2	aldehyde dehydrogenase 8 family, member A1 	48	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
UST	ENST00000367463.4	uronyl-2-sulfotransferase 	933	3	1	1	1	0	hsa-miR-103a-2-5p				-0.42	-0.45	N/A
C1orf141	ENST00000371007.2	chromosome 1 open reading frame 141 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
AP000889.3	ENST00000600612.1	HCG2032453; Uncharacterized protein; cDNA FLJ25337 fis, clone TST00714  	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.42	-0.42	N/A
GK5	ENST00000392993.2	glycerol kinase 5 (putative) 	73	1	1	0	0	1	hsa-miR-103a-2-5p				-0.42	-0.46	N/A
INHBA	ENST00000242208.4	inhibin, beta A 	1260	2	0	0	2	5	hsa-miR-103a-2-5p				-0.41	-0.50	N/A
NBN	ENST00000265433.3	nibrin 	342	3	0	1	2	1	hsa-miR-103a-2-5p				-0.41	-0.58	N/A
SLC8A1	ENST00000406785.2	solute carrier family 8 (sodium/calcium exchanger), member 1 	61	8	3	3	2	1	hsa-miR-103a-2-5p				-0.41	-0.50	N/A
ACN9	ENST00000360382.4	ACN9 homolog (S. cerevisiae) 	2260	2	0	2	0	0	hsa-miR-103a-2-5p				-0.41	-0.42	N/A
RCE1	ENST00000309657.3	RCE1 homolog, prenyl protein protease (S. cerevisiae) 	4698	1	1	0	0	0	hsa-miR-103a-2-5p				-0.41	-0.41	N/A
ING3	ENST00000445699.1	inhibitor of growth family, member 3 	339	1	1	0	0	0	hsa-miR-103a-2-5p				-0.41	-0.41	N/A
ELOVL6	ENST00000394607.3	ELOVL fatty acid elongase 6 	901	2	1	0	1	0	hsa-miR-103a-2-5p				-0.40	-0.40	N/A
C10orf67	ENST00000323327.4	chromosome 10 open reading frame 67 	5	1	1	0	0	1	hsa-miR-103a-2-5p				-0.40	-0.40	N/A
FAM169A	ENST00000380515.3	family with sequence similarity 169, member A 	90	2	0	0	2	0	hsa-miR-103a-2-5p				-0.40	-0.40	N/A
TAF1	ENST00000373790.4	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	61	1	0	1	0	1	hsa-miR-103a-2-5p				-0.39	-0.39	N/A
G3BP1	ENST00000394123.3	GTPase activating protein (SH3 domain) binding protein 1 	688	2	1	0	1	1	hsa-miR-103a-2-5p				-0.39	-0.43	N/A
ERVV-1	ENST00000602168.1	endogenous retrovirus group V, member 1 	5	2	2	0	0	0	hsa-miR-103a-2-5p				-0.39	-0.67	N/A
MAN2A1	ENST00000261483.4	mannosidase, alpha, class 2A, member 1 	1521	3	1	0	2	0	hsa-miR-103a-2-5p				-0.39	-0.40	N/A
UBQLN1	ENST00000376395.4	ubiquilin 1 	471	1	1	0	0	0	hsa-miR-103a-2-5p				-0.39	-0.41	N/A
LMO4	ENST00000370544.5	LIM domain only 4 	294	1	1	0	0	0	hsa-miR-103a-2-5p				-0.39	-0.45	N/A
RHEB	ENST00000262187.5	Ras homolog enriched in brain 	14	1	1	0	0	1	hsa-miR-103a-2-5p				-0.39	-0.40	N/A
S100A7A	ENST00000368729.4	S100 calcium binding protein A7A 	5	2	1	0	1	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
XIAP	ENST00000371199.3	X-linked inhibitor of apoptosis 	153	3	1	0	2	0	hsa-miR-103a-2-5p				-0.38	-0.41	N/A
RP11-404L6.2	ENST00000520762.1	Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
NDUFB11	ENST00000377811.3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa 	705	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
UBP1	ENST00000283629.3	upstream binding protein 1 (LBP-1a) 	1418	2	1	0	1	1	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
SH2D2A	ENST00000368198.3	SH2 domain containing 2A 	21	2	0	1	1	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
BCL2	ENST00000398117.1	B-cell CLL/lymphoma 2 	55	2	1	0	1	0	hsa-miR-103a-2-5p				-0.38	-0.39	N/A
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	2	1	0	1	1	hsa-miR-103a-2-5p				-0.38	-0.40	N/A
ANAPC13	ENST00000510994.1	anaphase promoting complex subunit 13 	443	2	0	1	1	0	hsa-miR-103a-2-5p				-0.38	-0.42	N/A
OXTR	ENST00000316793.3	oxytocin receptor 	24	3	1	2	0	0	hsa-miR-103a-2-5p				-0.38	-0.48	N/A
TMEM159	ENST00000572258.1	transmembrane protein 159 	159	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.40	N/A
CXorf36	ENST00000398000.2	chromosome X open reading frame 36 	5	3	1	1	1	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
RPP38	ENST00000378197.4	ribonuclease P/MRP 38kDa subunit 	179	1	0	1	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
C6orf201	ENST00000380175.4	chromosome 6 open reading frame 201 	5	2	0	0	2	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
MEGF10	ENST00000508365.1	multiple EGF-like-domains 10 	19	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
OGG1	ENST00000302008.8	8-oxoguanine DNA glycosylase 	364	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
CNPY3	ENST00000394142.3	canopy FGF signaling regulator 3 	837	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
CHEK2	ENST00000382566.1	checkpoint kinase 2 	5	2	0	2	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
C17orf47	ENST00000321691.3	chromosome 17 open reading frame 47 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
ZNF595	ENST00000509152.2	zinc finger protein 595 	5	1	1	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
LEF1	ENST00000265165.1	lymphoid enhancer-binding factor 1 	104	2	0	2	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
POLR2D	ENST00000272645.4	polymerase (RNA) II (DNA directed) polypeptide D 	530	2	2	0	0	0	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
CASP7	ENST00000369331.4	caspase 7, apoptosis-related cysteine peptidase 	277	3	1	1	1	1	hsa-miR-103a-2-5p				-0.38	-0.38	N/A
LPGAT1	ENST00000366997.4	lysophosphatidylglycerol acyltransferase 1 	135	2	1	1	0	3	hsa-miR-103a-2-5p				-0.38	-0.56	N/A
TMCO3	ENST00000434316.2	transmembrane and coiled-coil domains 3 	3482	1	1	0	0	0	hsa-miR-103a-2-5p				-0.37	-0.37	N/A
